name,allergens,ratings
Greek Chopped Salad,"['Dairy', 'Vegetarian']",[]
Pho Bowl Bar (Customize for Veggie Options),['Food Not Analyzed for Allergens'],[]
Garbanzo Beans,['Vegan'],[]
Steamed Brown Rice,['Vegan'],[]
Roasted Turnips and Rutabega,['Vegan'],[]
Mediterranean Roasted Beef with Herb and Wine Reduction,['Dairy'],[]
Chicken with Creamy Tarragon Sauce,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Plain Pasta,"['Vegan', 'Wheat / Gluten']",[]
"Tomato, Onion and Mushroom Sauce",['Vegan'],[]
Steamed Whole Grain Wheat Berries,"['Vegan', 'Wheat / Gluten']",[]
Sauteed Cabbage,['Vegan'],[]
Indian Curried Tofu with Coconut and Vegetables,"['Soy', 'Vegan']",[]
Moroccan Chicken and Butternut Squash Soup,[],[]
Tomato Orange Basil Bisque,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Salad and Deli Bar (Customize for veggie options),['Food Not Analyzed for Allergens'],[]
Vegetable Rice Soup,['Vegan'],[]
Steak Bar (Veggie Portobello mushroom option available),['Food Not Analyzed for Allergens'],[]
Steamed Brown Rice,['Vegan'],[]
Sauteed Kale,['Vegan'],[]
Garlic Mashed Potatoes,"['Dairy', 'Vegetarian']",[]
Roasted Zucchini,['Vegan'],[]
Gardein Veggie Ground Shepherds Pie,"['Dairy', 'Soy', 'Vegetarian']",[]
Beef Pot Roast with Vegetables,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Rotisserie Style Chicken,[],[]
Ham and Cheese Thick Crust Pizza,"['Dairy', 'Pork', 'Wheat / Gluten']",[]
Cheesy Garlic Thick Crust Pizza,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
